YEAR_INSTALLED,Number of Artworks
1870,1
1873,1
1878,1
1902,1
1906,1
1910,1
1912,1
1920,1
1921,1
1923,2
1924,1
1926,1
1927,1
1928,1
1929,1
1930,3
1933,1
1938,2
1939,1
1946,1
1948,1
1956,1
1959,3
1960,3
1961,1
1964,1
1965,1
1966,2
1967,11
1968,2
1969,2
1970,1
1973,2
1975,2
1977,2
1978,2
1979,2
1980,5
1982,1
1983,1
1984,5
1985,1
1986,2
1987,1
1988,4
1989,5
1990,8
1991,3
1992,10
1993,7
1994,11
1995,11
1996,6
1997,22
1998,6
1999,5
2000,4
2001,4
2002,11
2003,8
2004,7
2005,10
2006,14
2007,2
2008,7
2009,17
2010,13
2011,20
2012,10
2013,15
2014,14
2015,12
2016,13
2017,9
2018,6
2019,14
2020,8
2021,6
2022,1
2023,2
TBD,9
